"","level","Overall","0","1","p","test","Missing"
"n","","243","134","109","","",""
"any_ae (%)","0","201 (82.7)","117 (87.3)","84 (77.1)","0.053","","0.0"
"","1","42 (17.3)","17 (12.7)","25 (22.9)","","",""
"terli_ae_abdpain (%)","0","235 (96.7)","130 (97.0)","105 (96.3)","1.000","exact","0.0"
"","1","8 (3.3)","4 (3.0)","4 (3.7)","","",""
"terli_ae_nausea (%)","0","237 (97.5)","131 (97.8)","106 (97.2)","1.000","exact","0.0"
"","1","6 (2.5)","3 (2.2)","3 (2.8)","","",""
"terli_ae_diarrhea (%)","0","240 (98.8)","132 (98.5)","108 (99.1)","1.000","exact","0.0"
"","1","3 (1.2)","2 (1.5)","1 (0.9)","","",""
"terli_ae_volover (%)","0","235 (96.7)","129 (96.3)","106 (97.2)","0.734","exact","0.0"
"","1","8 (3.3)","5 (3.7)","3 (2.8)","","",""
"terli_ae_brady (%)","0","237 (97.5)","131 (97.8)","106 (97.2)","1.000","exact","0.0"
"","1","6 (2.5)","3 (2.2)","3 (2.8)","","",""
"terli_7 (%)","0","228 (93.8)","130 (97.0)","98 (89.9)","0.030","exact","0.0"
"","1","15 (6.2)","4 (3.0)","11 (10.1)","","",""
"terli_8 (%)","0","240 (98.8)","133 (99.3)","107 (98.2)","0.589","exact","0.0"
"","1","3 (1.2)","1 (0.7)","2 (1.8)","","",""
"terli_ae_respfail (%)","0","220 (90.5)","125 (93.3)","95 (87.2)","0.161","","0.0"
"","1","23 (9.5)","9 (6.7)","14 (12.8)","","",""
