"","level","Overall","0","1","p","test","Missing"
"n","","243","201","42","","",""
"age (median [IQR])","","57.60 [50.00, 63.95]","57.70 [49.50, 63.90]","57.25 [51.35, 64.55]","0.645","nonnorm","0.0"
"scr_admit (median [IQR])","","2.23 [1.51, 2.96]","2.23 [1.47, 2.92]","2.54 [1.70, 3.03]","0.376","nonnorm","2.9"
"tbili_admit (median [IQR])","","5.00 [2.35, 16.35]","4.95 [2.38, 15.70]","8.00 [2.30, 18.85]","0.481","nonnorm","3.3"
"inr_admit (median [IQR])","","1.80 [1.50, 2.40]","1.80 [1.50, 2.21]","2.15 [1.50, 2.62]","0.070","nonnorm","2.9"
"sodium_admit (median [IQR])","","132.00 [127.00, 135.00]","132.00 [127.00, 135.00]","132.00 [129.00, 136.00]","0.525","nonnorm","3.7"
"albumin_admit (median [IQR])","","3.00 [2.62, 3.60]","3.00 [2.70, 3.60]","3.00 [2.40, 3.60]","0.554","nonnorm","3.7"
"lactate_admit (median [IQR])","","2.65 [2.00, 3.70]","2.70 [2.00, 3.73]","2.30 [1.95, 3.58]","0.813","nonnorm","53.1"
"nsbb_dose_preadmission (median [IQR])","","16.25 [6.44, 40.00]","12.50 [6.38, 40.00]","20.00 [12.50, 40.00]","0.607","nonnorm","81.9"
"mido_dose_preadmission (median [IQR])","","15.00 [15.00, 30.00]","17.50 [14.38, 30.00]","15.00 [15.00, 27.50]","0.296","nonnorm","67.9"
"baseline_scr (median [IQR])","","1.24 [0.88, 1.72]","1.20 [0.87, 1.67]","1.35 [0.89, 1.79]","0.237","nonnorm","0.4"
"baseline_scr_days_to_admit (median [IQR])","","15.00 [4.00, 42.50]","15.00 [4.00, 41.00]","14.50 [1.00, 49.25]","0.817","nonnorm","0.0"
"transfer_aki_days_toadmit (median [IQR])","","6.00 [2.00, 10.00]","6.00 [1.50, 9.50]","6.00 [4.00, 14.00]","0.191","nonnorm","68.7"
"days_admit_to_aki (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 4.00]","0.00 [0.00, 2.75]","0.251","nonnorm","1.2"
"aki_weight (median [IQR])","","83.90 [71.40, 99.45]","83.40 [71.20, 98.90]","86.70 [73.66, 99.77]","0.713","nonnorm","0.4"
"aki_height (median [IQR])","","170.20 [162.60, 177.80]","171.10 [164.43, 177.80]","169.05 [160.50, 177.18]","0.359","nonnorm","0.4"
"aki_hr (median [IQR])","","90.00 [79.00, 102.00]","91.00 [80.00, 102.00]","86.00 [70.00, 101.00]","0.075","nonnorm","3.3"
"aki_sbp (median [IQR])","","100.00 [91.00, 109.00]","100.00 [91.25, 109.00]","100.00 [91.00, 109.00]","0.762","nonnorm","3.3"
"aki_dbp (median [IQR])","","57.00 [51.00, 65.00]","57.00 [51.00, 65.00]","58.00 [50.00, 66.00]","0.811","nonnorm","3.3"
"aki_map (median [IQR])","","71.67 [64.67, 79.50]","71.16 [64.67, 79.67]","74.00 [64.00, 79.00]","0.974","nonnorm","3.3"
"aki_pao2 (median [IQR])","","86.00 [73.00, 112.00]","86.00 [73.00, 112.00]","79.00 [69.95, 96.00]","0.118","nonnorm","28.0"
"fio2_aki (median [IQR])","","0.21 [0.21, 21.00]","0.21 [0.21, 21.00]","21.00 [0.21, 21.00]","0.122","nonnorm","10.3"
"scr_aki (median [IQR])","","2.20 [1.63, 2.96]","2.19 [1.65, 2.90]","2.54 [1.54, 3.12]","0.717","nonnorm","0.0"
"bun_aki (median [IQR])","","40.00 [29.00, 58.25]","40.50 [29.00, 59.00]","38.50 [29.00, 56.50]","0.817","nonnorm","2.9"
"albumin_aki (median [IQR])","","2.95 [2.50, 3.40]","3.00 [2.60, 3.40]","2.90 [2.40, 3.42]","0.293","nonnorm","8.6"
"inr_aki (median [IQR])","","1.80 [1.50, 2.30]","1.80 [1.50, 2.30]","2.10 [1.54, 2.50]","0.204","nonnorm","15.2"
"wbc_aki (median [IQR])","","8.40 [6.20, 13.14]","8.90 [6.30, 13.60]","7.60 [6.05, 10.00]","0.232","nonnorm","7.0"
"plt_aki (median [IQR])","","94.50 [62.75, 158.25]","99.00 [67.00, 161.50]","74.00 [51.00, 108.00]","0.010","nonnorm","4.5"
"ecg_qtc (median [IQR])","","457.00 [439.50, 483.00]","457.00 [435.00, 486.00]","458.50 [445.25, 480.75]","0.531","nonnorm","16.5"
"days_to_echo (median [IQR])","","5.00 [2.00, 18.00]","4.00 [2.00, 19.00]","6.00 [3.00, 10.50]","0.754","nonnorm","27.2"
"echo_ef (median [IQR])","","66.00 [62.50, 70.00]","66.00 [62.50, 70.00]","67.75 [62.88, 71.25]","0.388","nonnorm","25.1"
"echo_lateral_e (median [IQR])","","11.00 [8.80, 14.00]","11.00 [8.73, 14.00]","13.00 [10.90, 15.40]","0.146","nonnorm","68.3"
"echo_trpeak (median [IQR])","","224.50 [2.62, 253.05]","224.50 [2.48, 252.10]","210.00 [2.77, 280.00]","0.386","nonnorm","77.0"
"echo_gls (median [IQR])","","-18.35 [-21.00, 22.95]","-17.90 [-21.00, 23.70]","-20.70 [-23.30, -20.50]","0.128","nonnorm","88.5"
"echo_earatio (median [IQR])","","1.05 [0.87, 1.30]","1.05 [0.86, 1.30]","1.27 [0.99, 1.41]","0.121","nonnorm","56.8"
"echo_rvsp (median [IQR])","","33.00 [28.00, 41.00]","32.00 [28.00, 41.00]","34.50 [30.75, 40.50]","0.918","nonnorm","67.5"
"echo_pasp (median [IQR])","","30.00 [20.38, 40.00]","31.00 [29.00, 43.25]","23.25 [17.38, 30.25]","0.324","nonnorm","90.9"
"echo_lavi (median [IQR])","","32.00 [24.90, 39.50]","30.94 [24.67, 39.62]","35.00 [29.00, 39.00]","0.306","nonnorm","42.0"
"echo_tr (median [IQR])","","2.63 [2.40, 2.95]","2.68 [2.40, 3.08]","2.38 [2.17, 2.55]","0.092","nonnorm","87.7"
"totalalbumin_before_terli (median [IQR])","","200.00 [125.00, 350.00]","200.00 [112.50, 350.00]","225.00 [175.00, 359.38]","0.130","nonnorm","10.3"
"albvolume_before_terli (median [IQR])","","900.00 [500.00, 1500.00]","800.00 [500.00, 1450.00]","1000.00 [700.00, 1500.00]","0.150","nonnorm","14.4"
"saline_vol_before_terli (median [IQR])","","1000.00 [289.15, 1500.00]","1000.00 [328.30, 1500.00]","875.00 [312.50, 1191.15]","0.651","nonnorm","62.6"
