"","level","Overall","0","1","p","test","Missing"
"n","","243","211","32","","",""
"any_ae (%)","0","201 (82.7)","201 (95.3)","0 (0.0)","<0.001","","0.0"
"","1","42 (17.3)","10 (4.7)","32 (100.0)","","",""
"terli_ae_abdpain (%)","0","235 (96.7)","204 (96.7)","31 (96.9)","1.000","","0.0"
"","1","8 (3.3)","7 (3.3)","1 (3.1)","","",""
"terli_ae_nausea (%)","0","237 (97.5)","205 (97.2)","32 (100.0)","0.723","","0.0"
"","1","6 (2.5)","6 (2.8)","0 (0.0)","","",""
"terli_ae_diarrhea (%)","0","240 (98.8)","208 (98.6)","32 (100.0)","1.000","","0.0"
"","1","3 (1.2)","3 (1.4)","0 (0.0)","","",""
"terli_ae_volover (%)","0","235 (96.7)","211 (100.0)","24 (75.0)","<0.001","","0.0"
"","1","8 (3.3)","0 (0.0)","8 (25.0)","","",""
"terli_ae_brady (%)","0","237 (97.5)","211 (100.0)","26 (81.2)","<0.001","","0.0"
"","1","6 (2.5)","0 (0.0)","6 (18.8)","","",""
"terli_7 (%)","0","228 (93.8)","211 (100.0)","17 (53.1)","<0.001","","0.0"
"","1","15 (6.2)","0 (0.0)","15 (46.9)","","",""
"terli_8 (%)","0","240 (98.8)","211 (100.0)","29 (90.6)","<0.001","","0.0"
"","1","3 (1.2)","0 (0.0)","3 (9.4)","","",""
"terli_ae_respfail (%)","0","220 (90.5)","211 (100.0)","9 (28.1)","<0.001","","0.0"
"","1","23 (9.5)","0 (0.0)","23 (71.9)","","",""
"comb_effusion_edema (%)","0","105 (53.6)","96 (56.1)","9 (36.0)","0.027","","19.3"
"","1","39 (19.9)","32 (18.7)","7 (28.0)","","",""
"","2","22 (11.2)","21 (12.3)","1 (4.0)","","",""
"","3","30 (15.3)","22 (12.9)","8 (32.0)","","",""
"ratio_albumin_b4terli (median [IQR])","","2.37 [1.38, 4.11]","2.36 [1.34, 4.11]","2.84 [1.83, 3.89]","0.299","nonnorm","10.7"
"ratio_albumin_total (median [IQR])","","0.73 [0.00, 1.64]","0.70 [0.00, 1.64]","0.81 [0.01, 1.62]","0.692","nonnorm","0.4"
