"","level","Overall","0","1","p","test","Missing"
"n","","243","220","23","","",""
"age (median [IQR])","","57.60 [50.00, 63.95]","57.65 [50.05, 64.23]","57.40 [48.90, 61.75]","0.527","nonnorm","0.0"
"scr_admit (median [IQR])","","2.23 [1.51, 2.96]","2.23 [1.50, 2.96]","2.10 [1.61, 2.96]","0.870","nonnorm","2.9"
"tbili_admit (median [IQR])","","5.00 [2.35, 16.35]","5.00 [2.35, 16.35]","6.90 [2.48, 14.37]","0.640","nonnorm","3.3"
"inr_admit (median [IQR])","","1.80 [1.50, 2.40]","1.80 [1.50, 2.22]","2.50 [1.70, 2.60]","0.023","nonnorm","2.9"
"sodium_admit (median [IQR])","","132.00 [127.00, 135.00]","132.00 [127.00, 135.00]","131.00 [128.75, 134.25]","0.818","nonnorm","3.7"
"albumin_admit (median [IQR])","","3.00 [2.62, 3.60]","3.00 [2.70, 3.60]","2.90 [2.25, 3.45]","0.240","nonnorm","3.7"
"lactate_admit (median [IQR])","","2.65 [2.00, 3.70]","2.70 [2.00, 3.60]","2.30 [2.10, 3.80]","0.717","nonnorm","53.1"
"nsbb_dose_preadmission (median [IQR])","","16.25 [6.44, 40.00]","12.50 [6.31, 40.00]","22.50 [14.38, 36.25]","0.490","nonnorm","81.9"
"mido_dose_preadmission (median [IQR])","","15.00 [15.00, 30.00]","15.00 [12.50, 30.00]","15.00 [15.00, 30.00]","0.773","nonnorm","67.9"
"baseline_scr (median [IQR])","","1.24 [0.88, 1.72]","1.24 [0.88, 1.71]","1.27 [0.82, 1.70]","0.850","nonnorm","0.4"
"baseline_scr_days_to_admit (median [IQR])","","15.00 [4.00, 42.50]","15.00 [4.00, 44.25]","15.00 [3.00, 32.50]","0.923","nonnorm","0.0"
"transfer_aki_days_toadmit (median [IQR])","","6.00 [2.00, 10.00]","6.00 [2.00, 10.00]","6.00 [3.00, 7.50]","0.857","nonnorm","68.7"
"days_admit_to_aki (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 4.00]","1.00 [0.00, 4.50]","0.845","nonnorm","1.2"
"aki_weight (median [IQR])","","83.90 [71.40, 99.45]","83.30 [71.40, 98.90]","87.50 [73.00, 100.90]","0.690","nonnorm","0.4"
"aki_height (median [IQR])","","170.20 [162.60, 177.80]","172.00 [163.85, 177.80]","167.60 [160.00, 172.60]","0.089","nonnorm","0.4"
"aki_hr (median [IQR])","","90.00 [79.00, 102.00]","91.00 [80.00, 102.00]","89.50 [72.00, 100.50]","0.411","nonnorm","3.3"
"aki_sbp (median [IQR])","","100.00 [91.00, 109.00]","100.00 [92.00, 109.00]","95.50 [90.25, 106.75]","0.383","nonnorm","3.3"
"aki_dbp (median [IQR])","","57.00 [51.00, 65.00]","58.00 [51.00, 65.00]","55.00 [48.50, 63.75]","0.248","nonnorm","3.3"
"aki_map (median [IQR])","","71.67 [64.67, 79.50]","71.67 [64.67, 80.00]","70.16 [62.50, 77.08]","0.292","nonnorm","3.3"
